TimePoint,ImageNumber,ObjectNumber,AreaShape_Area,Area_um2,Intensity_IntegratedIntensity_Quant_p63,Total_p63_Intensity_per_um2_Object,Normalized_Total_p63_Intensity_per_um2_Object,renormalizing_value,Renormalized_Total_p63_Intensity_per_um2_Object,rescaled
0,1,101,40,15.376,2818421.633,183300.0542,1.590084516,0.996619211,1.595478492,0.7612004
0,14,32,232,89.1808,27869179.85,312502.0167,1.59007891,0.996619211,1.595472867,0.76119772
0,5,32,17,6.5348,1196716.311,183129.7531,1.588607195,0.996619211,1.59399616,0.760493
0,10,184,31,11.9164,2179987.133,182940.0769,1.586961799,0.996619211,1.592345182,0.75970513
0,1,4,31,11.9164,3716327.461,311866.6259,1.586845902,0.996619211,1.592228892,0.75964963
0,9,38,56,21.5264,3936603.074,182873.266,1.58638223,0.996619211,1.591763647,0.75942761
0,6,66,63,24.2172,7547662.906,311665.3827,1.585821932,0.996619211,1.591201449,0.75915932
0,1,86,1,0.3844,70231.40625,182703.9705,1.584913632,0.996619211,1.590290067,0.75872439
0,9,105,25,9.61,2991817.82,311323.3944,1.584081821,0.996619211,1.589455434,0.75832609
0,13,111,19,7.3036,2271597.789,311024.3974,1.582560458,0.996619211,1.587928911,0.7575976
0,3,33,53,20.3732,3716308.441,182411.6212,1.582377571,0.996619211,1.587745403,0.75751003
0,13,13,195,74.958,23273376.27,310485.5555,1.579818712,0.996619211,1.585177864,0.75628475
0,13,147,17,6.5348,2028623.195,310433.8611,1.57955568,0.996619211,1.584913939,0.7561588
0,1,72,21,8.0724,1469796.445,182076.761,1.579472738,0.996619211,1.584830716,0.75611909
0,5,81,77,29.5988,5385941.878,181964.8728,1.578502135,0.996619211,1.58385682,0.75565432
48,8,115,14,5.3816,978488,181821,1.577254,0.996619,1.582605,0.75505693
0,9,57,3,1.1532,357428.3516,309944.8071,1.577067266,0.996619211,1.582417084,0.75496726
0,10,15,7,2.6908,489119.5234,181774.7597,1.576852948,0.996619211,1.58220204,0.75486463
