Gene ,A1,A2,A3,B1,B2,B3,C1,C2,C3
Ptpn21,658,769,645,500,496,641,503,516,478
Ptpn22,0,0,0,0,0,0,0,0,0
Ptpn23,2282,2371,1994,4305,4318,5197,3760,3643,3141
Ptpn4,572,501,409,346,238,419,317,308,242
Ptpn5,0,0,0,0,0,0,0,0,0
Ptpn6,753,662,536,513,638,744,1034,906,788
Ptpn7,1,2,1,2,1,0,4,2,4
Ptpn9,1228,1188,952,1549,1372,2015,1772,1655,1340
Ptpra,1842,1824,1472,752,771,1034,1217,1419,981
Ptprc,0,0,0,0,0,0,0,0,0
Ptprcap,2,5,3,2,8,1,1,5,1
Ptpre,541,669,625,590,653,838,453,473,342
Ptprf,15445,14335,11323,11099,10490,13656,9359,8468,6937
Ptprg,900,1051,975,327,372,449,294,384,193
Ptprh,7,3,3,4,2,10,2,10,1
Ptprj,380,471,340,176,162,223,272,283,250
Ptprk,5990,6018,4868,3153,2953,3552,3085,3366,2309
Ptprm,1862,1788,1466,1370,1178,1510,3768,3538,2754
Ptprn,4,2,1,2,0,1,0,0,0
Ptprn2,0,0,2,0,0,0,0,0,0
Ptpro,0,0,0,0,2,0,0,1,1
Ptprq,1,0,0,0,0,0,2,0,1
Ptprr,10,3,7,1,1,10,0,3,0
Ptprs,5057,6808,6085,1570,1541,1588,2504,2665,1633
Ptprt,0,0,0,0,0,0,0,0,0
Ptpru,342,387,326,35,15,10,29,19,23
Ptprv,51,59,59,4,22,16,23,33,11
Ptprz1,1775,2230,2590,1362,1419,1484,1439,1653,945
Ptrf,5777,6815,5359,2607,2425,3035,4134,4289,2722
Ptrh2,564,663,549,360,340,441,261,223,180
Ptrhd1,124,92,57,85,68,55,61,56,62
Pts,54,47,47,45,27,32,21,31,24
Pttg1,29,60,120,15,5,16,10,10,2
Pttg1ip,3748,3997,3236,7475,7555,8878,11555,10979,9419
Ptx3,0,0,0,0,0,0,0,0,0
Puf60,2732,2717,2586,3374,3094,3552,3309,2884,2648
Pum1,2108,2125,1811,3043,2743,3766,3172,2808,2231
Pum2,4436,4198,4081,6067,5581,8217,5603,5160,3870
Purb,2655,2587,1952,3048,2568,3793,3796,3468,3445
Purg,52,39,47,89,79,105,31,26,26
Pus1,864,819,573,472,385,435,357,306,337
Pus10,317,276,235,382,366,456,238,244,213
Pus3,409,360,305,319,333,317,212,280,172
Pus7,775,673,545,233,233,322,132,137,131
