Gene ,A1,A2,A3,B1,B2,B3,C1,C2,C3
Fam207a,697,646,477,512,542,480,352,360,391
Fam209a,0,0,0,7,3,2,1,0,0
Fam20a,14,9,3,0,0,0,0,0,0
Fam20b,1623,1858,1547,708,760,791,612,462,470
Fam20c,1139,956,669,440,436,540,738,540,586
Fam210a,778,749,625,189,244,255,310,289,185
Fam210b,334,289,207,161,193,275,143,147,135
Fam212a,150,96,95,34,10,41,27,28,11
Fam212b,159,176,164,5,18,6,30,24,27
Fam213a,489,563,459,169,173,294,368,258,300
Fam213b,41,29,14,3,4,0,0,2,1
Fam214a,240,201,232,237,218,398,325,305,201
Fam214b,914,1159,719,1393,1505,1448,1230,1102,1070
Fam216a,550,575,464,145,170,264,299,244,212
Fam217a,8,1,3,3,0,1,2,1,1
Fam217b,38,34,30,15,9,19,1,2,6
Fam219a,153,122,78,176,171,196,184,153,135
Fam219b,217,272,203,79,61,115,159,135,134
Fam21c,3380,2854,2056,2477,2309,3304,2901,2730,1916
Fam220a,348,280,258,334,289,435,265,245,208
Fam221a,0,3,0,0,0,0,0,3,0
Fam221b,0,0,0,0,0,0,0,0,0
Fam222a,1,0,0,6,5,7,1,2,2
Fam222b,676,732,636,686,587,781,662,685,549
Fam227a,0,3,2,0,0,6,0,0,1
Fam227b,21,26,16,18,17,10,17,21,25
Fam228a,1,0,0,3,2,0,0,4,0
Fam229a,0,0,2,1,4,0,1,0,1
Fam229b,5,3,2,1,0,0,0,0,2
Fam24a,2,0,0,0,0,8,0,0,0
Fam25a,581,864,861,425,406,205,1559,1238,1444
Fam26e,9,10,0,0,0,0,4,0,4
Fam26f,8,9,0,3,0,1,1,3,5
Fam32a,1672,1724,1271,1463,1470,1479,1583,1311,1280
Fam35a,416,480,362,78,62,89,108,134,81
Fam3a,349,339,244,167,174,228,307,241,231
Fam3b,0,1,8,4,5,0,11,0,4
Fam3c,924,1077,1045,287,231,394,447,400,270
Fam3d,0,0,0,0,0,0,0,0,0
Fam43a,538,608,442,4631,4654,5331,5422,4730,5169
Fam45a,649,622,599,315,298,453,307,248,203
Fam46a,109,101,75,311,273,342,161,175,128
Fam46b,1579,1623,1130,1749,1608,2417,3119,2944,2884
Fam46c,3,0,1,43,23,40,33,19,21
Fam46d,0,0,0,0,0,0,0,0,1
Fam49a,69,76,56,24,24,35,11,27,17
Fam49b,1675,1695,1719,1479,1331,1811,1023,1075,812
Fam50a,25,21,4,17,18,26,23,14,11
Fam50b,6,0,0,0,0,0,0,0,0
Fam53a,354,236,189,58,26,50,81,75,59
Fam53b,1242,1313,906,219,227,265,440,493,368
Fam55b,6,5,1,0,0,3,4,2,1
Fam57b,0,0,0,0,0,1,3,0,1
Fam58b,154,112,101,52,35,51,28,35,29
Fam60a,688,585,559,252,249,333,281,286,212
Fam63a,1298,1019,828,1443,1229,1631,1275,1069,889
Fam64a,10,42,83,0,0,0,0,0,0
Fam65a,652,616,465,125,109,122,203,202,146
Fam65b,40,39,19,51,26,80,52,24,11
Fam69a,201,202,154,40,28,24,55,38,41
Fam69b,242,203,131,25,17,17,47,61,56
Fam71a,0,0,0,3,3,9,3,4,3
Fam71b,0,0,0,0,0,0,0,0,0
Fam71d,0,1,0,0,2,0,0,0,0
Fam71e2,0,0,0,0,0,0,3,0,0
Fam71f1,3,1,0,10,6,5,3,0,6
Fam71f2,0,0,0,25,18,3,4,1,9
Fam72a,38,65,67,23,22,29,63,58,38
Fam73b,588,582,505,257,171,258,157,165,109
Fam76a,472,584,497,400,363,482,347,376,267
Fam76b,555,661,663,550,523,751,550,495,405
Fam81a,0,0,0,0,0,0,0,0,0
Fam83a,1636,1578,1373,349,363,347,572,470,475
Fam83b,607,606,510,167,190,223,169,128,121
Fam83d,704,835,868,33,36,31,41,32,36
Fam83f,1632,1732,1318,1089,1104,1324,1349,1445,1194
Fam83h,4740,4733,3675,6647,6632,8035,3642,3543,3305
Fam84a,489,441,279,809,688,811,471,418,332
Fam89a,3,21,19,3,9,8,16,8,13
Fam89b,840,744,558,573,488,724,531,572,511
Fam8a1,1340,1061,697,522,565,832,737,695,502
Fam91a1,3571,3423,2827,3335,3400,4507,2719,2718,1928
Fam96a,1129,1030,907,664,505,677,725,653,504
Fam96b,617,669,548,644,722,749,826,775,769
Fam98a,2183,2256,1781,461,438,619,632,738,550
Fam98c,241,266,200,219,215,288,229,189,181
Fan1,148,90,114,17,6,5,10,15,4
Fanca,275,460,488,87,83,137,47,48,48
Fancb,200,437,385,5,5,16,5,9,6
Fancc,71,114,100,27,13,65,12,15,8
Fancd2,403,764,1085,6,9,27,3,4,0
Fancd2os,4,0,5,0,0,0,0,0,0
Fance,264,253,257,359,378,415,298,329,305
Fancl,339,399,357,44,78,102,65,57,41
Fank1,0,0,0,1,0,0,0,1,0
Fap,0,2,0,2,0,0,0,2,1
Far1,3934,4517,4071,1715,1625,2317,5179,6123,3606
Farp1,594,586,615,232,241,335,532,532,407
Farp2,300,274,241,219,167,260,184,159,149
Fars2,403,403,255,194,199,216,173,171,200
Farsa,2176,2359,1650,1026,950,1443,847,971,676
Farsb,2849,2912,2364,623,453,782,444,398,257
Fas,411,522,354,78,83,112,187,181,110
Faslg,0,0,0,0,0,0,3,3,2
Fasn,12439,12364,7573,3831,3459,4459,5124,5600,3994
Fastkd1,265,220,178,79,106,129,57,83,41
Fastkd2,267,307,215,184,208,299,144,157,97
Fastkd3,210,218,243,269,235,425,218,266,167
Fat1,24650,26924,20391,35590,29281,36524,43019,50624,35643
Fat2,3521,3414,2248,278,262,278,297,271,235
Fat3,0,3,4,10,12,0,0,0,0
Fat4,6,9,1,2,5,6,18,8,5
Fau,8944,8472,6922,11297,10117,11137,10768,9307,12043
Faxc,0,1,1,1,0,0,1,3,6
Fbl,2428,2486,2176,643,616,702,387,375,355
Fblim1,432,404,257,207,222,290,267,234,167
Fbll1,0,0,0,0,0,0,0,0,0
Fbln1,469,772,836,178,195,212,222,240,164
Fbln5,0,0,4,1,0,0,0,0,0
Fbn1,0,2,0,1,0,0,0,0,0
Fbn2,0,0,0,0,0,0,0,0,0
Fbp1,0,1,0,0,0,0,0,0,0
Fbp2,21,1,3,11,10,2,10,2,13
Fbxl12,316,264,289,400,439,481,270,290,259
Fbxl13,1,2,0,3,0,0,0,0,1
Fbxl14,739,713,680,861,785,997,312,272,335
Fbxl15,118,79,66,105,109,103,111,91,75
Fbxl16,7,4,6,9,6,7,4,2,1
Fbxl17,503,471,420,132,136,202,274,270,172
Fbxl19,976,1124,814,1737,1568,1922,853,605,659
Fbxl20,237,287,215,194,199,292,222,198,191
Fbxl22,31,50,16,59,31,45,50,36,26
Fbxl3,683,736,666,1207,1056,1388,1085,995,750
Fbxl3-ps1,99,64,71,21,17,16,7,8,5
Fbxl4,281,240,190,20,22,36,67,63,36
Fbxl5,1129,1198,1030,866,796,1194,659,654,475
Fbxl6,421,382,341,438,501,435,348,331,323
Fbxl7,0,0,0,0,0,0,0,0,0
Fbxl8,146,157,127,35,45,59,50,28,36
Fbxo11,1561,1435,1436,13017,11877,16075,7327,7391,4577
Fbxo15,22,30,26,2,4,9,8,3,2
Fbxo16,0,0,0,0,0,0,0,0,0
Fbxo17,2,1,1,0,0,0,0,4,0
Fbxo18,2099,2125,1594,1644,1690,2368,1843,1623,1326
Fbxo2,133,88,128,64,41,54,80,76,76
Fbxo21,419,445,373,639,566,726,367,371,318
Fbxo22,854,1019,749,342,318,344,428,420,333
Fbxo24,10,1,2,15,7,0,16,14,15
Fbxo25,418,290,286,163,162,270,159,164,124
Fbxo27,1,0,0,0,0,3,0,2,0
Fbxo28,1352,1292,938,2516,2297,3319,1437,1388,1252
Fbxo3,1495,1202,1030,767,805,1078,972,730,637
Fbxo30,407,394,416,654,588,809,404,422,244
Fbxo31,418,357,292,67,62,94,79,82,67
Fbxo32,30,33,20,1631,1594,2029,1134,1115,942
Fbxo33,768,767,662,855,758,1063,636,615,454
Fbxo34,472,485,440,694,622,815,758,671,556
Fbxo36,0,0,0,2,4,8,4,5,1
Fbxo39,0,0,0,0,0,0,0,0,4
Fbxo4,152,139,81,75,70,103,89,84,76
Fbxo41,8,5,3,1,0,0,0,0,0
Fbxo42,398,387,316,215,176,234,275,237,179
Fbxo43,0,0,0,0,0,0,0,0,0
Fbxo44,255,226,141,39,47,54,79,57,50
Fbxo46,264,314,189,394,380,458,208,193,185
Fbxo48,8,6,16,0,0,4,4,4,1
Fbxo5,186,360,448,13,16,26,9,0,6
Fbxo6,517,378,287,313,363,330,407,291,360
Fbxo7,832,784,681,409,416,528,520,459,431
Fbxo8,321,320,271,105,82,133,166,138,129
Fbxo9,537,547,400,309,262,365,301,292,202
Fbxw11,2356,2388,1752,4015,3762,5100,2888,2607,2226
Fbxw17,102,112,72,7,12,3,25,25,9
Fbxw2,1070,1103,970,525,512,743,591,589,539
Fbxw4,340,402,327,430,395,450,423,324,325
Fbxw5,329,392,275,132,128,141,174,131,124
Fbxw8,1026,1014,759,449,452,602,501,462,474
Fbxw9,258,333,233,210,213,247,152,180,119
Fcar,0,0,0,0,0,0,0,0,0
Fcer1a,0,0,0,0,0,0,0,0,0
Fcer1g,2,1,0,0,2,1,3,0,0
Fcer2,1,0,1,5,4,2,0,1,1
Fcf1,1274,1023,813,821,732,1051,534,512,375
Fcgbp,17,10,21,2,6,3,6,7,1
Fcgbpl1,0,1,0,3,2,0,0,0,0
Fcgr1a,10,6,2,1,14,0,8,12,12
Fcgr2a,527,606,485,394,373,362,290,257,254
Fcgr2b,0,2,0,0,0,0,1,0,2
Fcgr3a,0,0,0,0,0,0,0,0,0
Fcgrt,130,134,83,156,117,148,200,159,192
Fcho1,52,49,41,9,6,4,6,3,6
Fcho2,1045,1040,1092,3482,3246,5104,3148,2949,1958
Fchsd1,423,473,334,762,774,852,331,358,342
Fchsd2,505,609,512,502,458,711,771,770,526
Fcmr,7,10,3,20,14,8,26,15,13
Fcna,0,0,0,0,0,0,0,0,0
Fcnb,0,0,0,0,0,0,0,0,0
Fcrl2,0,0,0,0,0,0,0,0,0
Fcrl6,0,0,0,0,0,0,1,1,0
Fcrla,0,0,0,0,0,0,0,0,0
Fcrlb,0,0,0,0,0,0,3,1,0
Fdft1,4828,5137,3847,1175,1117,1388,1875,1720,1255
Fdps,9632,12227,9313,3817,3951,3972,6169,6336,4664
Fdx1,348,305,291,322,294,374,370,320,311
Fdx1l,423,356,286,206,188,252,197,156,157
Fdxacb1,123,150,133,61,54,141,83,123,71
Fdxr,168,139,101,24,39,37,25,19,19
Fech,498,471,392,159,130,194,184,199,171
Fem1a,1095,931,738,410,401,674,395,351,318
Fem1b,1139,1007,942,1742,1763,2430,1427,1313,1180
Fem1c,627,679,582,1645,1490,1957,922,800,649
Fen1,817,1225,1270,391,294,328,140,120,108
Fendrr,0,0,0,0,0,0,0,0,0
Fer,442,461,340,44,80,134,125,163,101
Fer1l4,28,34,35,48,55,63,122,108,110
Ferd3l,0,0,0,0,0,0,0,0,0
Fermt1,405,355,241,50,16,22,117,115,61
Fermt2,1360,1247,885,1312,1024,1638,2488,2592,1962
Fermt3,5,5,4,25,10,3,14,12,8
Fes,0,2,0,57,52,59,23,7,9
Fetub,31,35,20,43,8,55,19,11,10
Fev,0,0,0,0,0,0,0,0,0
Fez1,0,12,1,3,0,7,0,0,1
Fez2,865,900,805,215,177,186,352,327,250
Fezf1,0,0,0,0,0,0,0,0,0
Fezf2,0,0,0,0,0,0,0,0,0
Ffar1,0,0,0,0,0,0,0,0,0
Ffar2,0,0,0,0,0,0,0,0,0
Ffar3,0,0,0,0,0,0,0,0,0
Ffar4,0,0,4,0,0,0,0,0,0
Fga,0,0,0,0,0,0,0,0,0
Fgb,0,0,0,0,0,0,0,0,0
Fgd1,170,197,157,115,103,94,82,73,70
Fgd2,56,77,76,89,60,54,43,52,34
Fgd3,0,0,0,2,0,0,0,0,0
Fgd4,42,33,33,121,171,191,84,89,78
Fgd6,1120,1117,908,2235,2149,2461,3529,3526,2684
Fgf1,0,0,0,0,0,0,0,0,0
Fgf10,0,0,0,0,0,0,2,0,0
Fgf11,17,17,14,51,29,52,44,36,34
Fgf12,0,2,0,0,0,0,0,0,0
Fgf13,417,499,523,16,13,23,26,37,21
Fgf14,0,0,0,0,0,0,0,0,0
Fgf16,0,0,0,0,0,0,0,0,0
Fgf17,1,2,0,0,0,0,0,0,1
Fgf18,0,0,0,8,3,0,2,0,3
Fgf19,0,1,1,0,0,0,0,2,0
Fgf2,0,1,0,0,0,0,0,0,0
Fgf20,0,0,0,0,0,0,0,0,0
Fgf21,1,2,0,9,1,5,6,19,5
Fgf22,176,88,66,34,29,52,15,17,14
Fgf23,0,0,0,0,0,0,0,0,0
Fgf3,0,0,0,0,0,0,0,0,0
Fgf4,0,0,0,0,0,0,0,0,0
Fgf5,0,0,0,0,0,0,0,0,0
Fgf6,0,0,0,0,0,0,0,0,0
Fgf7,0,0,0,0,0,0,0,0,0
Fgf8,0,0,0,0,1,2,0,0,3
Fgf9,61,61,52,67,57,87,82,107,78
Fgfbp1,34954,37514,27244,21439,21444,19516,8149,10432,6040
Fgfbp3,31,17,8,6,8,5,2,2,4
Fgfr1,179,200,212,1462,1329,1548,721,692,601
Fgfr1op2,2005,2144,1886,2291,2051,2964,2562,2545,1882
Fgfr2,2125,2058,1852,1306,1280,1594,2949,2700,2325
Fgfr3,289,337,275,34,71,94,61,84,59
Fgfr4,0,0,0,0,0,0,0,0,0
Fgfrl1,93,94,57,43,43,36,35,15,28
Fgg,0,0,0,0,0,0,0,0,0
Fggy,67,83,40,5,30,25,22,26,21
Fgl1,0,0,0,0,0,0,0,0,0
Fgl2,0,0,0,0,0,2,0,0,0
Fgr,0,0,0,0,3,1,0,0,1
Fh,1765,1641,1572,467,360,517,384,332,269
Fhdc1,822,788,666,740,633,861,953,883,790
Fhit,19,19,15,21,35,25,24,31,21
Fhl1,2,1,0,0,0,0,0,0,0
Fhl2,1440,1704,1168,139,190,116,942,968,772
Fhl3,625,714,568,219,143,212,269,330,240
Fhl4,1,2,1,0,0,0,0,0,0
Fhl5,0,0,0,0,0,0,0,0,0
Fhod1,522,631,525,395,307,414,471,403,323
Fhod3,1,3,0,0,0,0,0,0,0
Fibcd1,0,0,0,0,0,0,0,0,0
Fibin,0,0,0,0,0,0,0,0,0
Fibp,1148,1127,859,708,617,812,894,786,661
Ficd,404,583,594,206,185,333,173,178,116
Fig4,354,291,287,96,74,196,100,100,77
Figf,0,0,0,3,0,0,0,4,1
Fign,0,0,0,0,0,0,0,0,0
Fignl1,141,260,282,8,6,29,4,6,2
Filip1,1,0,0,0,0,0,0,0,0
Fip1l1,3145,3091,2740,3990,3776,4545,2651,2531,2184
Fis1,725,813,626,790,651,848,1064,970,955
Fitm1,0,2,0,3,4,25,1,0,7
Fitm2,968,972,703,630,505,680,1349,1041,1109
Fiz1,249,285,225,282,296,252,186,181,158
Fjx1,1037,1231,1057,139,116,111,161,221,148
Fkbp10,3,2,4,7,5,8,0,3,3
Fkbp11,322,358,214,225,252,147,301,238,234
Fkbp14,104,95,83,27,17,24,21,28,13
Fkbp1a,6287,6623,5102,5837,5708,5880,7592,7330,6203
Fkbp1b,0,2,6,0,3,0,4,3,1
Fkbp2,337,478,384,213,233,116,237,154,247
Fkbp3,1951,2531,2225,676,570,807,989,934,699
Fkbp4,6778,6503,5119,2251,2018,2400,1437,1289,1169
Fkbp5,1592,1891,1787,883,918,991,860,758,644
Fkbp6,0,0,0,0,0,0,0,1,0
Fkbp7,74,76,34,10,6,11,19,8,10
Fkbp8,3975,4452,3524,2322,2155,2635,3601,3209,3252
Fkbp9,353,388,315,179,158,158,202,205,162
Fkbpl,173,183,146,141,105,139,121,78,96
Fkrp,403,337,306,290,329,296,316,219,199
Fktn,341,343,308,76,79,203,110,108,61
Flad1,1053,880,637,515,499,489,477,455,418
Flcn,788,823,650,2004,2129,2699,1716,1717,1407
Fli1,0,0,0,0,0,0,0,0,0
Flii,2997,3156,2721,3432,3257,4285,4755,4137,3680
Flna,30025,35221,26903,14310,13406,16155,16675,18080,13128
Flnb,7559,7896,5748,4861,4574,5913,10368,9868,8600
Flnc,10,15,6,12,9,22,114,110,104
Flot1,515,520,503,534,523,482,615,513,507
Flot2,200,166,149,182,140,229,315,341,226
Flrt1,2,4,0,2,0,3,1,4,1
Flrt2,91,86,78,56,62,55,158,263,157
Flrt3,711,771,603,529,400,457,1435,1593,1128
Flt1,4,15,6,254,288,311,82,113,89
Flt3,0,0,0,0,4,0,0,0,1
Flt3lg,125,130,99,73,66,71,43,56,65
Flt4,0,6,5,0,6,2,7,7,16
Flvcr2,36,54,36,177,214,235,324,289,269
Fmc1,54,68,34,39,23,18,26,46,26
Fmnl1,13,17,6,14,8,5,0,7,4
Fmo1,0,0,0,0,0,0,0,0,0
Fmo2,1,1,0,0,0,0,0,0,0
Fmo3,0,0,0,0,0,0,0,0,0
Fmo4,38,20,15,2,3,8,5,5,4
Fmo5,1,1,0,0,0,0,0,0,0
Fmo9,0,0,0,0,0,0,0,0,0
Fmod,15,31,23,24,21,46,7,18,20
Fmr1,647,737,740,851,712,1162,740,603,543
Fn1,11008,11403,7664,4149,4069,4927,2719,3322,2141
Fn3k,0,0,0,0,0,0,0,0,0
Fn3krp,202,227,139,20,11,42,23,36,38
Fnbp1,704,728,625,637,549,763,677,647,499
Fnbp1l,979,1014,947,1045,941,1264,1365,1228,1075
Fnbp4,1795,1775,1518,3674,3470,4698,3311,3018,2132
Fndc1,53,48,44,11,9,19,19,29,9
Fndc3a,580,674,578,307,399,449,425,460,293
Fndc3b,2238,2413,1787,1124,849,1080,1934,1819,1372
Fndc3c1,0,0,0,0,0,0,0,0,0
Fndc5,6,1,0,0,0,0,2,1,2
Fndc7,4,5,2,2,2,6,3,2,1
Fndc8,0,0,5,0,2,0,2,0,0
Fnip1,771,912,746,3487,3046,4556,2615,2754,1670
Fnip2,634,609,585,1944,2021,2800,2663,2158,1706
Fnta,1980,1950,1395,1610,1448,1930,1661,1521,1292
Fntb,737,743,584,371,323,534,359,346,314
Folh1,0,0,0,0,0,0,0,0,0
Folr1,0,0,1,0,0,1,0,0,0
Folr2,0,0,0,0,0,0,0,0,0
Fopnl,820,830,760,233,219,300,299,184,234
Fos,167,150,109,498,422,493,234,263,223
Fosb,39,36,40,662,598,765,169,144,141
Fosl1,4888,5230,5031,8769,7555,9953,3995,3880,3247
Fosl2,414,311,195,501,528,507,244,222,235
Foxa1,20,7,3,154,153,197,106,103,139
Foxa2,0,0,0,0,0,0,0,0,0
Foxa3,0,0,3,1,0,0,0,0,0
Foxb1,0,0,0,0,0,0,0,0,0
Foxb2,0,0,0,0,0,0,0,0,0
Foxc1,157,173,101,167,174,188,75,96,82
Foxc2,0,0,0,0,0,0,0,0,0
Foxd1,28,21,24,130,88,149,214,242,213
Foxe1,309,254,192,126,137,224,102,82,101
Foxe3,8,3,3,4,0,8,10,15,8
Foxg1,0,0,0,0,0,0,0,0,0
Foxh1,0,1,0,0,0,0,0,0,0
Foxi1,0,0,0,0,0,0,0,0,0
Foxi3,0,0,0,0,0,0,0,0,0
Foxj1,0,3,0,0,0,0,0,0,0
Foxj2,581,692,509,672,617,856,421,383,336
Foxj3,1251,1201,977,1738,1583,2262,1411,1532,1052
Foxk1,310,325,275,419,332,437,300,355,224
Foxk2,2863,2965,2533,1114,985,1247,1253,1183,897
Foxm1,197,465,678,99,89,109,40,62,44
Foxn1,22,10,21,7,3,2,33,52,19
Foxn3,354,344,250,362,331,390,280,276,154
Foxn4,0,0,0,0,0,0,0,0,0
Foxo1,784,632,620,476,406,579,548,500,356
Foxo3,978,969,752,6884,6802,7578,3993,3161,3290
Foxo4,461,540,408,622,630,605,729,652,760
Foxp1,576,577,464,133,140,213,264,356,216
Foxp2,7,2,1,2,1,0,0,0,0
Foxp3,0,6,0,3,0,12,1,1,3
Foxp4,1531,1663,1294,2137,2118,2224,1317,1235,1023
Foxq1,1837,1525,1250,3622,3665,3934,3437,3129,3198
Foxred2,32,25,18,36,43,65,44,40,28
Foxs1,0,0,0,0,0,0,0,0,0
Fpgs,535,477,365,152,136,165,156,145,151
Fpgt,403,321,274,326,346,519,196,171,133
Fpr-rs3,0,0,0,0,0,0,0,0,0
Fpr1,0,0,0,1,0,0,0,0,0
Fra10ac1,335,320,311,67,108,87,103,76,57
Fras1,5,8,4,0,4,0,0,0,2
Frem1,0,0,0,0,2,1,0,0,0
Frem2,0,0,0,0,0,0,0,0,0
Frem3,22,28,14,0,0,0,0,2,2
Frg1,668,614,538,343,332,546,381,350,252
Frk,283,219,196,1521,1267,1751,905,973,700
Frmd3,0,0,0,0,0,0,0,1,0
Frmd4a,156,131,132,258,283,304,187,166,134
Frmd6,4271,4237,3182,2768,2473,3657,3231,2923,2359
Frmd8,3466,3473,2864,3652,3419,4448,4805,4163,3979
Frmpd4,3,7,0,0,2,4,2,1,3
Frs2,894,884,814,1311,992,1611,952,929,662
Frs3,82,66,61,9,12,12,8,0,8
Fry,0,1,0,0,0,0,1,0,0
Frzb,0,0,0,0,0,0,0,0,0
Fscb,0,0,0,0,0,0,0,0,0
Fscn1,9914,9640,7973,3867,3701,4125,4125,4192,3612
Fscn2,31,19,12,26,24,22,11,4,5
Fscn3,34,32,7,151,158,215,123,98,66
Fsd1,10,8,2,0,0,0,1,0,0
Fsd2,0,0,0,2,1,0,0,0,1
Fshb,0,0,0,0,0,0,0,0,0
Fshr,0,3,0,0,0,0,0,1,0
Fsip1,74,112,89,19,15,20,14,26,11
Fst,589,693,783,2773,2489,2850,1762,1865,1288
Fstl1,8,26,32,0,4,2,21,11,6
Fstl3,662,738,396,246,239,330,254,355,248
Fstl4,2,3,0,0,0,0,3,2,0
Fstl5,0,0,0,0,0,0,0,0,0
Ftcd,0,0,0,0,0,0,0,0,0
Fth1,26783,25728,17777,39716,39098,45086,43297,36455,32624
Ftl1,124550,91729,49440,159642,156355,173624,100630,88378,94033
Ftmt,0,0,0,0,0,0,0,0,0
Fto,763,820,616,130,179,201,187,163,178
Ftsj2,136,123,95,35,37,55,38,17,27
Ftsj3,4668,4366,3105,1433,1344,1427,854,839,676
Fubp1,4658,4183,3273,2984,2632,3725,8249,7846,6197
Fubp3,1745,1681,1400,1301,1082,1265,968,903,702
Fuca1,998,1157,807,874,807,902,1252,1114,1086
Fuca2,536,570,323,302,261,284,333,359,266
Fuk,642,717,395,179,189,242,193,140,162
Fundc1,287,276,272,66,96,135,93,113,60
Fundc2,1076,1021,911,458,418,574,607,616,514
Fuom,51,42,34,9,5,22,17,8,11
Furin,3236,2937,2191,9027,9058,9766,8128,7137,6095
Fus,3293,3726,3794,5487,4980,5087,3173,2844,3018
Fut1,190,179,196,319,267,378,227,188,209
Fut10,5,6,0,0,0,0,1,0,0
Fut11,235,129,114,83,114,176,76,74,57
Fut2,2,8,4,8,23,10,20,32,10
Fut4,6,10,8,9,4,7,4,1,1
Fut7,0,0,0,2,1,0,3,0,1
Fut8,430,414,332,69,56,102,79,94,62
Fut9,0,0,0,0,0,2,0,2,0
Fuz,207,165,131,66,53,55,110,88,84
Fv1,535,482,428,145,117,164,106,95,84
Fxn,326,287,253,77,79,75,79,85,87
Fxr1,2300,1927,1759,1894,1549,2618,1836,1741,1339
Fxr2,2710,2716,2014,2332,2375,2376,2086,1837,1782
Fxyd1,0,0,0,0,1,0,0,0,0
Fxyd2,17,25,18,7,7,0,6,15,15
Fxyd3,912,1251,1141,438,393,304,648,604,467
Fxyd4,13,4,2,0,0,4,0,9,3
Fxyd5,10,10,6,8,12,13,20,15,13
Fxyd6,1,5,3,2,2,0,2,2,5
Fxyd7,0,0,0,0,0,0,0,0,0
Fyb,1,0,0,0,0,0,0,1,0
Fyco1,869,849,729,760,686,903,1223,1026,916
Fyn,33,88,65,96,58,105,62,75,46
Fyttd1,2658,2900,2273,1467,1487,2074,1324,1042,798
Fzd1,309,232,206,47,33,36,68,32,49
Fzd10,0,0,0,0,0,0,0,0,0
Fzd2,285,298,237,58,39,57,45,22,24
Fzd3,132,107,85,144,138,195,181,208,177
Fzd4,11,9,4,9,1,8,3,0,1
Fzd5,111,124,103,188,198,202,181,133,146
Fzd6,2871,3009,2675,1382,1395,1616,975,1016,727
Fzd8,0,0,0,0,0,0,0,0,0
Fzd9,10,2,3,15,7,15,2,18,3
Fzr1,1163,1249,1261,627,503,727,538,523,408
G0s2,69,87,160,131,105,83,240,262,233
G2e3,368,381,477,289,287,562,389,302,246
G3bp1,7297,7581,6870,3207,2837,3834,2402,2462,1909
G3bp2,3030,2973,2534,1541,1324,2113,1737,1695,1321
G4,273,297,231,421,430,512,176,142,156
G6b,1,2,0,13,18,22,6,7,1
G6pc,0,0,1,0,0,0,0,1,0
G6pc3,16,28,21,14,26,7,8,22,14
G6pd,6970,6752,4655,2829,2722,3669,2271,1835,1864
Gaa,1220,1223,746,961,1011,1218,878,830,744
Gab1,403,381,331,801,792,1091,1118,833,793
Gab2,23,22,12,56,50,48,87,103,71
Gabarap,5165,5066,3435,7725,7152,8987,9719,8389,8312
Gabarapl1,658,652,437,1218,1132,1037,1375,1052,1239
Gabarapl2,953,879,665,826,802,1175,1528,1431,1158
Gabbr1,568,687,455,1434,1376,1526,1823,1597,1458
Gabbr2,3,1,0,0,0,2,0,0,0
Gabpa,1478,1358,1378,1159,1106,1550,979,842,552
Gabpb1,369,395,325,631,503,710,620,580,429
Gabpb1l,101,130,94,221,165,220,134,134,124
Gabra1,1,3,5,0,0,0,0,0,0
Gabra2,3,4,2,8,3,2,2,7,2
Gabra3,0,0,0,0,0,0,0,0,0
Gabra4,0,0,0,0,0,0,0,0,0
Gabra5,0,0,0,0,0,0,0,0,0
Gabra6,0,0,0,0,0,0,0,0,0
Gabrb1,0,0,0,0,1,0,1,0,0
Gabrb2,0,0,0,0,0,0,0,0,0
Gabrb3,3,0,0,0,0,0,0,0,0
Gabrd,0,0,0,0,0,0,0,0,0
Gabre,2,0,0,0,0,0,0,0,3
Gabrg1,0,0,0,0,0,0,0,0,0
Gabrg2,0,0,0,0,0,0,0,0,0
Gabrg3,0,0,0,0,0,0,0,0,1
Gabrp,57,37,56,49,57,42,17,25,10
Gabrq,0,0,0,0,0,0,0,0,0
Gabrr1,0,0,0,0,0,0,0,0,0
Gabrr2,0,0,0,0,0,5,3,0,0
Gabrr3,2,3,3,0,0,0,0,1,0
Gad1,0,0,0,0,1,0,0,0,0
Gad2,0,0,0,0,0,0,0,0,0
Gadd45a,2269,2729,1945,605,588,497,901,833,712
Gadd45b,439,400,370,10316,9927,9957,24311,21300,19001
Gadd45g,220,209,150,266,254,224,656,449,601
Gadd45gip1,1169,1198,978,521,452,482,699,754,671
Gak,3936,3845,2981,4072,3817,4905,4409,3842,3526
Gal,0,0,0,0,0,1,2,1,2
Gal3st1,2,0,0,10,0,2,0,0,0
Gal3st3,3,0,0,0,0,0,0,0,0
Gal3st4,1,0,0,1,0,0,0,0,0
Galc,166,175,100,144,144,205,246,192,228
Gale,1129,1079,776,502,443,639,425,435,439
Galk1,1880,1833,1262,1048,894,1035,1085,973,1113
Galk2,475,479,317,93,73,126,139,128,103
Galm,138,145,118,41,51,65,33,75,33
Galns,58,49,57,14,40,28,40,36,37
Galnt1,1919,2051,1767,881,780,1146,969,843,623
Galnt10,400,345,327,494,444,497,393,337,346
Galnt11,462,339,300,51,41,56,46,61,55
Galnt13,48,71,75,17,8,23,36,40,9
Galnt14,0,0,0,0,0,0,0,0,0
Galnt16,0,0,0,0,3,0,0,0,0
Galnt18,0,0,0,0,0,0,0,2,1
Galnt2,2938,3574,3061,1157,1125,1199,1759,1769,1428
Galnt3,1351,1569,1638,1495,1608,2195,1653,1575,1054
Galnt4,212,208,134,116,103,138,87,43,58
