"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cebpa",686.212800887407,0.845106674773505,0.137780860418152,6.13370153306262,8.58575312207514e-10,2.64203401665987e-09
"Cebpb",4360.18140274265,1.5975595423491,0.0929608525450036,17.1852935790977,3.42210306392799e-66,7.66325598908681e-65
"Cebpg",1190.12916675872,0.470309421140691,0.105012341542503,4.47861093498555,7.51303236242108e-06,1.71839051757276e-05
"Cebpz",1572.30598828642,-0.636276737810461,0.0923545628855737,-6.88949974890576,5.59889235512606e-12,1.98451537311293e-11
"Cecr2",429.730669941984,2.3771240259436,0.15735207257806,15.1070398183941,1.45532145883076e-51,2.33558881344297e-50
"Cecr5",168.955904282673,-1.08298237567826,0.198980857753564,-5.44264603090379,5.24948944325623e-08,1.42255746990679e-07
"Celf1",1590.90380044653,0.67984252472028,0.0950999104123495,7.14871887652164,8.75915019700628e-13,3.27123401830665e-12
"Celf4",39.4069058259573,-1.36229212504367,0.413776969330855,-3.29233433955185,0.000993594146142828,0.00184285399015736
"Celsr2",300.545806806182,-0.950666740628831,0.170806398289377,-5.56575602641203,2.61018230526944e-08,7.23624197154232e-08
"Cenpa",22.7045869937566,-8.12903115152481,1.32589386236953,-6.13098180950718,8.73383922982336e-10,2.68474361001886e-09
"Cenpc",446.659964611479,0.531103635793021,0.167655318266466,3.16783053042733,0.00153581017804517,0.00278416796474928
"Cenpf",161.134269474506,-11.0673481606908,1.55153500743652,-7.13316045570671,9.80900945676104e-13,3.65034152247581e-12
"Cenpi",101.743340385541,-2.27733032276044,0.351217940276199,-6.48409452253362,8.92662477383847e-11,2.93281629973567e-10
"Cenpk",63.2081421019618,-5.54876699274217,0.585065107271904,-9.48401626378897,2.44679999058503e-21,1.4322580492001e-20
"Cenpm",61.6046249388489,-2.41970390655666,0.395342015491471,-6.12053313774048,9.32627844336619e-10,2.8615280778836e-09
"Cenpn",319.035691782297,-0.700220814042497,0.223459817187997,-3.13354240978995,0.00172709958390843,0.00311725018620148
"Cenpq",55.9029799314016,-3.0608087793419,0.447006704648967,-6.84734422886464,7.52335393766182e-12,2.65199373855041e-11
"Cenpt",106.78557725604,-7.03884551890896,1.10935478647558,-6.34499044374375,2.2243925360875e-10,7.12977968224441e-10
"Cenpu",117.602909183241,-3.92473700445655,0.394014448029903,-9.96089616530685,2.26016093712304e-23,1.43180699717416e-22
"Cenpw",31.178691467293,-8.70444276787865,1.57119745084832,-5.5400056582188,3.02461873966516e-08,8.3551206160246e-08
"Cep112",29.0125735184469,-1.60585085288535,0.442780268261631,-3.62674438766202,0.000287017166437316,0.00056633937127445
"Cep120",311.601905931375,-0.622166885115459,0.147531759113246,-4.2171725522359,2.47384673718167e-05,5.39854561815566e-05
"Cep131",95.8357368743656,-1.1442469695132,0.238265624187966,-4.80240057042603,1.56774672157802e-06,3.78822947884443e-06
"Cep19",387.073416710487,-0.450429480267375,0.146090067739013,-3.08323137389503,0.00204765883073524,0.00365755105721837
"Cep290",482.960292742656,0.646622741551111,0.144711703171685,4.46835140060483,7.8824741421447e-06,1.80075106193124e-05
"Cep295",211.935653414672,-1.14485296395394,0.287988691993546,-3.97533999001459,7.02787828338703e-05,0.000146821792740078
"Cep295nl",161.565208391749,6.76254071832899,0.544477144057336,12.4202471896908,2.02933506379461e-35,2.03904057931711e-34
"Cep41",91.6579050752865,-3.06962081423163,0.351671769133047,-8.72865291916653,2.57723809298455e-18,1.29873467790826e-17
"Cep44",99.8254862103012,-1.74292758269771,0.259863705173276,-6.70708355187784,1.98552590395707e-11,6.80995898492845e-11
"Cep55",163.551918051553,-6.55551065974138,0.813794400272537,-8.05548755010597,7.91626270127775e-16,3.49398073007121e-15
"Cep57",201.005573392144,-1.89217907309844,0.219626605487624,-8.61543649913154,6.96756307763687e-18,3.43180696343112e-17
"Cep57l1",81.4316197704818,-3.53445143044673,0.36783879805908,-9.6086966603209,7.34730809538867e-22,4.38523476457728e-21
"Cep70",82.1893552184308,-3.22063614888952,0.301081955326653,-10.696875358722,1.05268271148869e-26,7.68398530085397e-26
"Cep76",339.233603671756,-0.436435526517679,0.157011853596341,-2.77963425385514,0.00544201532193569,0.00916921654198992
"Cep78",61.5623262408538,-4.49491273090342,0.438363052576284,-10.2538585414226,1.13711519707441e-24,7.586239089027e-24
"Cep83",288.328599961578,-0.591170344357431,0.176784588014567,-3.34401517121345,0.000825752216194924,0.00154996212770181
"Cep85",548.170314459222,-0.892648056235569,0.139520919426091,-6.39795136032223,1.57475430207587e-10,5.10271619755656e-10
"Cep85l",278.588085714077,1.25705276888094,0.15904332195011,7.90383873694029,2.7044286217777e-15,1.16083479660629e-14
"Cep89",212.694193891301,-0.787574494231079,0.184697007497655,-4.2641432305885,2.00670695863384e-05,4.41414409042719e-05
"Cep95",386.663852168341,0.516995076406006,0.144422434847173,3.57974214292322,0.000343933421425291,0.000673927536810114
"Cep97",30.0895334269535,-3.5849513197473,0.545722727915968,-6.5691808978484,5.0592790895162e-11,1.68813080795148e-10
"Cerk",229.602348479625,-2.26313242436456,0.18942393867584,-11.947446770376,6.69505999600554e-33,6.20380258651515e-32
"Cers2",2048.18256922845,0.328163096450782,0.0870845162776519,3.76832886577102,0.00016434409618762,0.000332340922549518
"Cers3",1088.75235839768,0.333951946266547,0.11319712913813,2.9501803518271,0.0031758848187361,0.0055192283171147
"Cers4",416.462464378746,-1.73578382514845,0.138216981915685,-12.558397680882,3.57499272807298e-36,3.67518158121737e-35
"Ces1a",68.4964012537495,1.27888316456064,0.323424964543533,3.95418815726113,7.67949593185377e-05,0.000159885721608235
"Ces2g",1312.93027903009,-0.528340536386064,0.106539949676547,-4.95908378021666,7.08264197621675e-07,1.75886370159434e-06
"Cfap126",1.79397046235136,-4.47458988672188,2.04482133279609,-2.18825469734479,0.028651054837511,0.0432818588897163
"Cfap97",107.478723097289,-1.50052529034706,0.260743696410163,-5.75479028258714,8.67494201305179e-09,2.48793633558733e-08
"Cfdp1",1270.01641849223,-0.42184028626505,0.10956669546211,-3.85007765805012,0.000118080379595813,0.000241875338810427
"Cfl1",13148.2082830537,0.581227579377773,0.0994570559340847,5.84400547471446,5.0960351971156e-09,1.48849056376822e-08
"Cflar",938.623839660627,1.34228114212685,0.108964294315689,12.3185411382377,7.19847165851533e-35,7.07900766077827e-34
"Cggbp1",1390.41862938813,0.265500345317045,0.114227933297158,2.32430315119472,0.0201092520476947,0.0311561286418761
"Cgm4",2.4929843949474,5.24741138016467,1.8493582398757,2.83742287839124,0.00454793323821782,0.0077475112144489
"Cgnl1",4450.27818813478,1.14216720696286,0.0859704176800699,13.2855840158101,2.8066008531412e-40,3.32618183159452e-39
"Cgref1",86.4472881134878,-1.9507632924232,0.31337259120231,-6.22506035048805,4.81370679319763e-10,1.50942691982086e-09
"Cgrrf1",393.962129628197,0.565801469501192,0.130358105497861,4.34036278250818,1.42247673760844e-05,3.17311171873851e-05
"Ch25h",90.7168918625877,3.02467918466867,0.371560524196341,8.1404750712171,3.93729900642682e-16,1.76339108601791e-15
"Chac1",601.812432085331,-0.890488867627536,0.173794213070368,-5.12381196068354,2.9941959890599e-07,7.65441032159007e-07
"Chac2",75.8555501034752,-0.784609108715218,0.311401455851641,-2.51960642434833,0.0117486118312946,0.0188706157507103
"Chaf1b",135.276898436742,-5.89858832033746,0.425367196036026,-13.8670503398148,1.00318017677904e-43,1.30294643663366e-42
"Chchd10",419.226683874957,0.890167163244676,0.352660750739618,2.52414582960472,0.0115979805611301,0.0186442216727683
"Chchd3",1248.08440519279,-0.525550590629795,0.0869395402521294,-6.04501230516828,1.49398599263578e-09,4.53216281042438e-09
"Chchd4",277.956995321277,-0.63277210002634,0.170183725037763,-3.71817046480754,0.000200670845836257,0.000402072416098137
"Chchd5",180.068733510981,-0.442156540754799,0.19755477541845,-2.23814655868605,0.0252114993236892,0.0384664298554559
"Chchd6",212.930721399276,-0.663317693095001,0.179162021918187,-3.70233426701279,0.000213624906808179,0.000427360768380974
"Chd1",2921.20529493597,1.05140152165951,0.0913747706621891,11.5064750810322,1.2237889675273e-30,1.0405357998365e-29
"Chd2",2846.19490650129,1.9711192379642,0.0791520322973267,24.9029517089326,6.91209028988057e-137,4.36443733877432e-135
"Chd8",1579.34953132116,-0.286777479706715,0.0919699032110597,-3.11816659248402,0.00181979908705819,0.00327127853935243
"Chdh",43.890931521199,-1.12745001370715,0.375965690755724,-2.99881090596558,0.00271035465132457,0.00475598299104865
"Chek1",185.947892153987,-4.00781255331169,0.275718394410218,-14.535891092376,7.17734327157006e-48,1.04451135394196e-46
"Chek2",101.459020524829,-3.17309911829943,0.2787524307635,-11.3832159583626,5.06951326171755e-30,4.19614797558354e-29
"Cherp",1428.09943453802,-0.666007399454246,0.0904968130667185,-7.35945694533171,1.84659903075162e-13,7.14343883506361e-13
"Chfr",1476.41208882386,-0.385185050170688,0.0769422210265011,-5.00615975249816,5.55266784667805e-07,1.38936935834484e-06
"Chic2",1943.54052869162,1.79956307177565,0.0854294700605957,21.0648979854283,1.6698521256416e-98,6.54072586840294e-97
"Chka",1501.13179125346,3.20005142125035,0.0933700588442324,34.27277931343,1.99705909900649e-257,4.19563961618546e-255
"Chkb",840.949492265774,0.936888816611912,0.118928731947226,7.87773317071646,3.3337368137881e-15,1.42565984024136e-14
"Chmp1a",2081.13821615423,0.546242518139838,0.0822905044891096,6.6379775106632,3.18016369303247e-11,1.07446758692954e-10
"Chmp1b",2988.5496090519,1.38285005301507,0.0904768400759812,15.2840224288754,9.77183093749165e-53,1.6084545083008e-51
"Chmp2a",3554.79145048975,1.09098823972678,0.0865615973750725,12.6036056728426,2.01708216704275e-36,2.09598780936861e-35
