"","A1","A2","A3","B1","B2","B3","C1","C2","C3"
"Mbtps2",409.170723758829,375.487835437033,390.122660392312,198.546819199898,229.250089901146,187.144027828271,269.590093210232,257.344054137071,192.195998824376
"Mc2r",0,0,0,0,0,0,0,2.32890546730381,0
"Mc3r",0,0,0,0,0,0,0,0,0
"Mc4r",0,0,0,0,0,0,0,0,0
"Mc5r",0,0,0,0,0,0,0,0,1.40289050236771
"Mcam",2.09473066770731,2.77112793680467,0.85553214998314,3.34629470561626,0,0,0,0,0
"Mcart1",46.7823182454633,37.4102271468631,47.0542682490727,55.7715784269377,37.8144478187458,48.6574472353505,40.5481034503195,26.7824128739938,37.8780435639281
"Mcat",270.220256134243,248.708732328219,225.004955445566,141.659809204422,141.804179320297,122.579338227518,180.822623494668,161.858929977615,189.390217819641
"Mcc",97.0558542704388,85.9049660409448,88.1198114482634,56.8870099954765,96.8995225355361,40.2359659830783,150.137572234967,171.17455184683,154.317955260448
"Mccc1",112.417212500292,125.393539140411,135.174079697336,74.7339150920965,142.985880814632,113.222136836104,176.439044743282,118.774178832494,155.720845762816
"Mccc2",465.728451786926,462.085583462179,392.689256842261,74.7339150920965,85.082507592178,92.6362937749943,146.849888171427,112.951915164235,127.663035715461
"Mcee",70.5225991461462,48.4947388940818,45.3432039491064,1.11543156853875,9.45361195468645,14.9715222262617,10.9589468784647,15.1378855374747,14.0289050236771
"Mcemp1",0,0,0,0,2.36340298867161,0,0,0,0
"Mcf2l",2.79297422360975,4.15669190520701,6.84425719986512,27.8857892134689,23.6340298867161,13.100081947979,7.67126281492531,6.98671640191142,9.82023351657396
"Mcfd2",1621.32153680546,1624.57375295174,1711.06429996628,747.339150920965,756.288956374916,694.304343242886,894.250065282722,1009.5805200762,1091.44881084208
"Mchr1",0,0,0,0,0,0,0,0,0
"Mcl1",2624.69752663726,2791.91139633071,2658.13838999762,8595.51566715964,8040.29696746082,8550.61063147371,4437.27759109037,4357.38212932542,4235.32642664811
"Mcm10",310.718382376585,414.283626552298,491.930986240305,62.4641678381702,28.3608358640593,40.2359659830783,24.1096831326224,37.2624874768609,28.0578100473542
"Mcm2",1899.92071561053,2389.40506350983,2423.72258090223,377.015870166099,385.234687153473,336.859250090888,272.877777273772,244.5350740669,246.908728416717
"Mcm3",1422.32212337327,2012.53166410439,2044.7218384597,73.6184835235578,103.989731501551,109.479256279539,43.8357875138589,79.1827858883294,32.2664815544573
"Mcm3ap",1106.71603610536,1013.54004288631,1030.0607085797,1463.44621792285,1403.86137527094,1466.27345803451,1158.36068505372,995.607087272378,1127.92396390364
"Mcm4",2329.34050249053,3310.80510249738,3918.33724692278,203.008545474053,203.252657025759,288.201802855538,261.918830395307,288.784277945672,246.908728416717
"Mcm5",1566.16029588917,2160.09422673924,2361.26873395347,148.352398615654,173.710119667363,175.915386158575,73.4249440857137,76.8538804210256,57.518510597076
"Mcm6",2269.29155668292,2932.54613912354,3294.65430958507,153.929556458348,127.623761388267,141.293741010345,63.5618918950954,130.418706169013,53.3098390899729
"Mcm7",1055.04601296858,1600.3263835047,2137.11931065788,397.093638399796,392.324896119487,303.173325081799,111.78125816034,104.800746028671,95.3965541610042
"Mcm8",109.624238276683,176.659405971298,218.160698245701,10.0388841168488,1.18170149433581,19.6501229219685,1.09589468784647,0,8.41734301420625
"Mcmbp",1096.24238276683,1149.32531178974,1178.06777052678,1378.6734187139,1420.40519619164,1426.97321219057,953.428378426431,905.944226781181,972.203118140822
"Mcmdc2",53.0665102485853,64.4287245307086,24.8104323495111,72.503051955019,105.171432995887,64.5646896007536,53.6988397044772,57.0581839489433,75.7560871278562
"Mcoln1",613.05784208234,647.751155228092,619.405276587793,772.994076997357,856.733583393459,866.476848844896,1071.78500471385,990.94927633777,1198.06848902202
"Mcoln2",3.49121777951219,0,0,3.34629470561626,0,6.55004097398949,0,1.1644527336519,1.40289050236771
